,title,authors,average_rating,language_code
228,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,eng
229,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,eng
230,Motorcycle Basics Techbook,John Harold Haynes,3.85,eng
231,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,eng
232,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,eng
233,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,eng
234,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,eng
235,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,eng
236,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,eng
237,The Fountainhead,Ayn Rand,3.87,eng
238,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,eng
239,Anthem,Ayn Rand,3.63,eng
240,We the Living,Ayn Rand/Leonard Peikoff,3.91,eng
241,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,eng
242,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,eng
243,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,eng
244,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,eng
245,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,eng
246,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,eng
247,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,eng
248,The Natural,Bernard Malamud/Kevin Baker,3.63,eng
249,Digging to America,Anne Tyler,3.55,eng
250,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,eng
251,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,eng
252,The Plot Against America,Philip Roth,3.77,eng
253,Naked Pictures of Famous People,Jon   Stewart,3.59,eng
254,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,eng
255,Crónica de una muerte anunciada,Gabriel García Márquez,3.97,spa
256,Cien años de soledad,Gabriel García Márquez,4.07,spa
257,Del amor y otros demonios,Gabriel García Márquez,3.98,spa
258,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,eng
259,Memoria de mis putas tristes,Gabriel García Márquez,3.6,spa
260,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,eng
261,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,eng
262,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,eng
263,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,eng
264,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,spa
265,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.0,eng
266,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,eng
267,Cryptonomicon,Neal Stephenson,4.25,eng
268,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,fre
269,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,eng
270,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,eng
271,The Cobweb,Neal Stephenson/J. Frederick George,3.61,eng
272,The Big U,Neal Stephenson,3.25,eng
273,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,eng
274,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,eng
275,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,eng
276,Snow Crash,Neal Stephenson/Guy Abadia,4.03,eng
277,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,eng
278,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,eng
279,The Design of Everyday Things,Donald A. Norman,4.17,eng
280,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,eng
281,The Psychology of Everyday Things,Donald A. Norman,4.17,eng
282,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,eng
283,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,eng
284,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,eng
285,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,eng
286,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,eng
287,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,eng
288,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,eng
289,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,eng
290,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,eng
291,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,eng
292,Pompeii,Robert   Harris,3.82,eng
293,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.6,eng
294,Of Mice and Men,John Steinbeck,3.87,eng
295,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,eng
296,The Westing Game,Ellen Raskin,4.02,eng
297,The Egypt Game,Zilpha Keatley Snyder,3.83,eng
298,Memoirs of a Geisha,Arthur Golden,4.11,eng
299,Memoirs of a Geisha,Arthur Golden,4.11,eng
300,Memoirs of a Geisha,Arthur Golden,4.11,eng
301,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,eng
302,Memoirs of a Geisha,Arthur Golden,4.11,eng
303,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,eng
304,Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,eng
305,Jungle Love,Margaret Johnson/Philip Prowse,3.41,eng
306,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,eng
307,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,eng
308,Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89,spa
309,Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89,spa
310,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,eng
311,The Da Vinci Code,Dan Brown,3.84,eng
312,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84,fre
313,Deception Point,Dan Brown,3.71,eng
314,Deception Point,Dan Brown,3.71,eng
315,Deception Point,Dan Brown,3.71,eng
316,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,eng
317,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,eng
318,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,eng
319,Think and Grow Rich,Napoleon Hill,4.18,eng
320,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58,eng
321,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,eng
322,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66,eng
323,The Richest Man in Babylon,George S. Clason,4.26,eng
324,The Richest Man in Babylon,George S. Clason,4.26,eng
325,Shibumi,Trevanian/Gisela Stege,4.21,eng
326,1776,David McCullough,4.07,eng
327,1776,Peter  Stone/Sherman Edwards,4.22,eng
328,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62,eng
329,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,eng
330,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,eng
331,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,eng
332,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,eng
333,Snow Flower and the Secret Fan,Lisa See,4.07,eng
334,The Broker,John Grisham,3.78,eng
335,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,eng
336,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75,eng
337,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,3.74,eng
338,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,3.65,eng
339,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,3.95,eng
340,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,4.13,eng
341,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,eng
342,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,eng
